id,title,price,lat,lng,link,images,pros,cons,size_ping,floor,type,address,original_591_id,mrt_nearest_distance,facilities,聯絡人,聯絡電話,Line聯絡,聯絡人身分,管理費,服務費,裝潢等級,衛浴等級,電表類型,電費,公用費用,停車位,停車費,電梯,洗衣機,變頻冷氣,垃圾代收,,created_at,id,坪數,樓層,寵物
"rent_1780957683482","不詳","15000","25.0502712","121.5728609","https://rent.591.com.tw/21315777","/rentals_images/21315777/image_1.jpg;/rentals_images/21315777/image_2.jpg;/rentals_images/21315777/image_3.jpg;/rentals_images/21315777/image_4.jpg","","","10","5F","獨立套房","台北市松山區饒河街","21315777","470","冰箱;洗衣機;電視;冷氣;熱水器;床;衣櫃;網路;沙發;桌椅","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","無","有","不詳","不詳","","2026-06-08T22:28:03.482078Z","rent_1780957683482","","",""
"rent_1780957668102","不詳","15000","25.055404","121.526863","https://rent.591.com.tw/21366680","/rentals_images/21366680/image_1.jpg;/rentals_images/21366680/image_2.jpg;/rentals_images/21366680/image_3.jpg;/rentals_images/21366680/image_4.jpg;/rentals_images/21366680/image_5.jpg;/rentals_images/21366680/image_6.jpg;/rentals_images/21366680/image_7.jpg;/rentals_images/21366680/image_8.jpg;/rentals_images/21366680/image_9.jpg;/rentals_images/21366680/image_10.jpg;/rentals_images/21366680/image_11.jpg;/rentals_images/21366680/image_12.jpg;/rentals_images/21366680/image_13.jpg;/rentals_images/21366680/image_14.jpg;/rentals_images/21366680/image_15.jpg","","","15","6F","獨立套房","台北市中山區新生北路二段58巷","21366680","0","冰箱;洗衣機;電視;冷氣;熱水器;床;衣櫃;第四台;網路;桌椅;陽台","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","無","有","不詳","不詳","","2026-06-08T22:27:48.102204Z","rent_1780957668102","","",""
"rent_1780957670644","不詳","11000","25.0667692","121.5282998","https://rent.591.com.tw/21398679","/rentals_images/21398679/image_1.jpg;/rentals_images/21398679/image_2.jpg;/rentals_images/21398679/image_3.jpg;/rentals_images/21398679/image_4.jpg;/rentals_images/21398679/image_5.jpg","","","10","7F","獨立套房","台北市中山區新生北路三段","21398679","488","冰箱;洗衣機;電視;冷氣;熱水器;床;衣櫃;桌椅;陽台;電梯;平面車位","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","有","不詳","有","有","不詳","不詳","","2026-06-08T22:27:50.644695Z","rent_1780957670644","","",""
"rent_1780957673344","不詳","14000","25.0628102","121.5285858","https://rent.591.com.tw/21389983","/rentals_images/21389983/image_1.jpg;/rentals_images/21389983/image_2.jpg;/rentals_images/21389983/image_3.jpg;/rentals_images/21389983/image_4.jpg;/rentals_images/21389983/image_5.jpg;/rentals_images/21389983/image_6.jpg;/rentals_images/21389983/image_7.jpg","","","11.17","11F","獨立套房","台北市中山區民權東路二段","21389983","214","冰箱;洗衣機;冷氣;熱水器;床;衣櫃;沙發;桌椅;陽台;電梯","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","有","有","不詳","不詳","","2026-06-08T22:27:53.344074Z","rent_1780957673344","","",""
"rent_1780957676814","不詳","12800","25.0297307","121.5460188","https://rent.591.com.tw/21371970","/rentals_images/21371970/image_1.jpg;/rentals_images/21371970/image_2.jpg;/rentals_images/21371970/image_3.jpg;/rentals_images/21371970/image_4.jpg;/rentals_images/21371970/image_5.jpg;/rentals_images/21371970/image_6.jpg;/rentals_images/21371970/image_7.jpg;/rentals_images/21371970/image_8.jpg;/rentals_images/21371970/image_9.jpg;/rentals_images/21371970/image_10.jpg","","","10","2F","獨立套房","台北市大安區復興南路二段125巷20弄5號","21371970","461","冰箱;洗衣機;電視;冷氣;熱水器;床;衣櫃;第四台;網路;天然瓦斯;桌椅;平面車位","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","有","不詳","無","有","不詳","不詳","","2026-06-08T22:27:56.814681Z","rent_1780957676814","","",""
"rent_1780957681749","不詳","14000","25.084975","121.5597499","https://rent.591.com.tw/21408776","/rentals_images/21408776/image_1.jpg;/rentals_images/21408776/image_2.jpg;/rentals_images/21408776/image_3.jpg;/rentals_images/21408776/image_4.jpg;/rentals_images/21408776/image_5.jpg;/rentals_images/21408776/image_6.jpg;/rentals_images/21408776/image_7.jpg;/rentals_images/21408776/image_8.jpg;/rentals_images/21408776/image_9.jpg;/rentals_images/21408776/image_10.jpg;/rentals_images/21408776/image_11.jpg;/rentals_images/21408776/image_12.jpg;/rentals_images/21408776/image_13.jpg;/rentals_images/21408776/image_14.jpg;/rentals_images/21408776/image_15.jpg","","","13","2F","獨立套房","台北市內湖區內湖路一段","21408776","419","冰箱;洗衣機;電視;冷氣;熱水器;床;衣櫃;第四台;網路;桌椅;陽台","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","無","有","不詳","不詳","","2026-06-08T22:28:01.749249Z","rent_1780957681749","","",""
"rental-1780958595066-6","松山站","15000","25.0502712","121.5728609","https://img1.591.com.tw/house/2025/05/06/174648436704506600.jpg!1000x.water2.jpg;https://img2.591.com.tw/house/2025/05/06/174648436706517200.jpg!1000x.water2.jpg;https://img2.591.com.tw/house/2025/05/06/174648436701621004.jpg!1000x.water2.jpg;https://img2.591.com.tw/house/2025/05/06/174648436705089907.jpg!1000x.water2.jpg","/rentals_images/21315777/image_1.jpg;/rentals_images/21315777/image_2.jpg;/rentals_images/21315777/image_3.jpg;/rentals_images/21315777/image_4.jpg","","","10","5F","獨立套房","台北市松山區饒河街","21315777","470","冰箱;洗衣機;電視;冷氣;熱水器;床;衣櫃;網路;沙發;桌椅","","","","","","","","","","","","","","","","","","","2026-06-08T22:28:03.482078Z","rental-1780958595066-6","","",""
"rent_1780958457824","不詳","15000","25.04915","121.592192","https://rent.591.com.tw/21381011","/rentals_images/21381011/image_1.jpg;/rentals_images/21381011/image_2.jpg;/rentals_images/21381011/image_3.jpg;/rentals_images/21381011/image_4.jpg;/rentals_images/21381011/image_5.jpg;/rentals_images/21381011/image_6.jpg;/rentals_images/21381011/image_7.jpg;/rentals_images/21381011/image_8.jpg;/rentals_images/21381011/image_9.jpg;/rentals_images/21381011/image_10.jpg;/rentals_images/21381011/image_11.jpg","","","13","整棟","獨立套房","台北市南港區忠孝東路六段370巷","21381011","182","洗衣機;冷氣;熱水器;床;衣櫃;陽台","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","無","有","不詳","不詳","","2026-06-08T22:40:57.824724Z","rent_1780958457824","","",""
"rent_1780959486324","不詳","16000","25.0456319","121.576915","https://rent.591.com.tw/21280223","/rentals_images/21280223/image_1.jpg;/rentals_images/21280223/image_2.jpg;/rentals_images/21280223/image_3.jpg;/rentals_images/21280223/image_4.jpg;/rentals_images/21280223/image_5.jpg;/rentals_images/21280223/image_6.jpg","","","10","3F","獨立套房","台北市信義區松山路162號","21280223","471","","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","無","無","不詳","不詳","","2026-06-08T22:58:06.325014Z","rent_1780959486324","","",""
"rent_1780959491143","不詳","16000","25.0384965","121.4970176","https://rent.591.com.tw/21411768","/rentals_images/21411768/image_1.jpg;/rentals_images/21411768/image_2.jpg;/rentals_images/21411768/image_3.jpg;/rentals_images/21411768/image_4.jpg;/rentals_images/21411768/image_5.jpg;/rentals_images/21411768/image_6.jpg;/rentals_images/21411768/image_7.jpg;/rentals_images/21411768/image_8.jpg;/rentals_images/21411768/image_9.jpg;/rentals_images/21411768/image_10.jpg;/rentals_images/21411768/image_11.jpg;/rentals_images/21411768/image_12.jpg;/rentals_images/21411768/image_13.jpg;/rentals_images/21411768/image_14.jpg;/rentals_images/21411768/image_15.jpg","","","14","5F","獨立套房","台北市萬華區環河南路二段","21411768","471","冰箱;洗衣機;電視;冷氣;熱水器;床;衣櫃;沙發;桌椅;陽台","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","無","有","不詳","不詳","","2026-06-08T22:58:11.143728Z","rent_1780959491143","","",""
