id,title,price,size_ping,floor,type,address,latitude,longitude,source_591_url,original_591_id,images,original_image_urls,mrt_nearest_name,mrt_nearest_distance,bus_nearest_name,facilities,聯絡人,聯絡電話,Line聯絡,聯絡人身分,管理費,服務費,裝潢等級,衛浴等級,電表類型,電費,公用費用,停車位,停車費,電梯,洗衣機,變頻冷氣,垃圾代收,租屋補助,朝向,created_at,notes,簽約狀態,開伙狀況,網速,浴缸,熱水器形式
rent_nueoesmz73wgii3m,不用1萬！免服務費，捷運大安站，家庭式合租，台北市蛋黃區 (ROOM D 寧靜小雅房),9900,3.5,1F/7F,雅房,台北市大安區信義路三段134巷,25.0345,121.5365,https://www.dd-room.com/object/nueoesmz73wgii3m,nueoesmz73wgii3m,/rentals_images/nueoesmz73wgii3m/image_1.jpg,https://static.dd-room.com/images/object/n/u/e/nueoesmz73wgii3m/cover/677bf147f527c223db4ecbbb67e27393_766x510.jpg,大安,350,,網路;冷氣;洗衣機;冰箱;熱水器;天然瓦斯;廚房;陽台,房東,不詳,@794vvzdu,屋主,無,無,4,不詳,不詳,不詳,均攤,無,不詳,有,有,是,不詳,不詳,不詳,2026-06-15T00:00:00Z,華廈47坪合租大空間；ROOM D 寧靜小雅房；能源費水電瓦斯按比例均攤；附變頻分離式冷氣、洗衣機、烘衣機、三口瓦斯爐,招租中,,,,
rent_21398679,遠雄首府附近，獨立套房，設備齊全近捷運,11000,10,7F,獨立套房,台北市中山區新生北路三段,25.0667692,121.5282998,https://rent.591.com.tw/21398679,21398679,/rentals_images/21398679/image_1.jpg;/rentals_images/21398679/image_2.jpg;/rentals_images/21398679/image_3.jpg;/rentals_images/21398679/image_4.jpg;/rentals_images/21398679/image_5.jpg,https://img1.591.com.tw/house/2026/04/03/177520362926503804.jpg!1000x.water2.jpg;https://img1.591.com.tw/house/2026/04/03/177520362928856009.jpg!1000x.water2.jpg;https://img2.591.com.tw/house/2026/04/03/177520362926481309.jpg!1000x.water2.jpg;https://img1.591.com.tw/house/2026/04/03/177520362868089707.jpg!1000x.water2.jpg;https://img1.591.com.tw/house/2026/04/03/177520362928232403.jpg!1000x.water2.jpg,中山國小站,488,,冰箱;洗衣機;電視;冷氣;熱水器;床;衣櫃;桌椅;陽台;電梯;平面車位,屋主: 蔣小姐,0931-038-755,,屋主,730元/月,無,3,2,不詳,不詳,不詳,有,有,有,有,不詳,不詳,不詳,坐東朝西,2026-06-08T22:27:50.644695Z,,招租中,,,,
rent_q5otumsoflzyhhvx,捷運古亭站【超值租案】洗衣機★有陽台★雙窗採光,11999,6,6F/6F,獨立套房,臺北市中正區重慶南路三段,25.0241848,121.5168123,https://www.dd-room.com/object/q5otumsoflzyhhvx,q5otumsoflzyhhvx,/rentals_images/q5otumsoflzyhhvx/image_1.jpg,https://img2.591.com.tw/house/2026/06/10/178110096988905704.png!1000x.png;https://img1.591.com.tw/house/2026/06/10/178110097004141805.png!1000x.png;https://img1.591.com.tw/house/2026/06/10/178110096988026200.png!1000x.png;https://img2.591.com.tw/house/2026/06/10/178110096994357303.png!1000x.png;https://img1.591.com.tw/house/2026/06/10/178110096974473902.png!1000x.png;https://img2.591.com.tw/house/2026/06/10/178110096997734601.png!1000x.png,古亭,647,,冰箱;洗衣機;冷氣;熱水器;床;衣櫃;網路;天然瓦斯;桌子;椅子;電視;陽台;流理台,格瑞租屋,987137646,@GORENT,仲介,無,半個月租金,3,5,不詳,不詳,不詳,無,不詳,有,有,是,有,是,不詳,2026-06-14T20:05:54.818579Z,,招租中,,,,
rent_21280476,寧夏夜市711全新套房,12000,10,3F,獨立套房,台北市大同區民生西路,25.056876,121.514947,https://rent.591.com.tw/21280476,21280476,/rentals_images/21280476/image_1.jpg;/rentals_images/21280476/image_2.jpg;/rentals_images/21280476/image_3.jpg;/rentals_images/21280476/image_4.jpg;/rentals_images/21280476/image_5.jpg;/rentals_images/21280476/image_6.jpg,https://img1.591.com.tw/house/2012/05/01/133586279735746808.jpg!1000x.water2.jpg;https://img1.591.com.tw/house/2024/02/20/170840051285610602.jpg!1000x.water2.jpg;https://img1.591.com.tw/house/2024/02/20/170840051296360007.jpg!1000x.water2.jpg;https://img2.591.com.tw/house/2024/02/20/170840051263837703.jpg!1000x.water2.jpg;https://img2.591.com.tw/house/2024/02/20/170840051277607207.jpg!1000x.water2.jpg;https://img1.591.com.tw/house/2024/02/20/170840051301669002.jpg!1000x.water2.jpg,迪化街站,396,,洗衣機;冷氣;熱水器;床;衣櫃;桌椅;平面車位,代理人: 李先生,"0972-528-577,4626496",,代理人,無,無,4,5,不詳,不詳,不詳,有,不詳,無,有,不詳,有,不詳,不詳,2026-06-09T18:49:41.047209Z,,招租中,,,,
rent_21358442,近吳興街市場,12000,16,5F,分租套房,台北市信義區吳興街170巷1弄3號,25.028561,121.561643,https://rent.591.com.tw/21358442,21358442,/rentals_images/21358442/1656768.jpg;/rentals_images/21358442/1656769.jpg;/rentals_images/21358442/image_1.jpg;/rentals_images/21358442/image_2.jpg;/rentals_images/21358442/image_3.jpg;/rentals_images/21358442/image_4.jpg,https://img1.591.com.tw/house/2026/05/30/178015021916395003.jpg!1000x.water2.jpg;https://img2.591.com.tw/house/2026/05/30/178015021924598601.jpg!1000x.water2.jpg;https://img1.591.com.tw/house/2026/05/30/178015021902365406.jpg!1000x.water2.jpg;https://img1.591.com.tw/house/2026/05/30/178015021901421704.jpg!1000x.water2.jpg,台北101/世貿站,510,,冰箱;洗衣機;電視;冷氣;熱水器;床;衣櫃;網路;桌椅;陽台;對外窗,代理人: 0女士,0933-031-623,,代理人,無,無,4,4,獨立,6元/度,不詳,不詳,不詳,無,有,不詳,無,無,不詳,2026-06-09T20:24:07.559566Z,房東是讓利給我們13500 變成12000,招租中,,,,
rent_21336197,"可租補，中山區大套房,邊間通風光線,生活機能好",12500,8,6F,分租套房,台北市中山區龍江路397巷,25.06548,121.541845,https://rent.591.com.tw/21336197,21336197,/rentals_images/21336197/image_1.jpg;/rentals_images/21336197/image_2.jpg;/rentals_images/21336197/image_3.jpg;/rentals_images/21336197/image_4.jpg;/rentals_images/21336197/image_5.jpg;/rentals_images/21336197/image_6.jpg,https://img1.591.com.tw/house/2026/04/19/177660912352307700.jpg!1000x.water2.jpg;https://img1.591.com.tw/house/2021/10/09/163374694442858848.jpg!1000x.water2.jpg;https://img2.591.com.tw/house/2021/10/24/163506233725020912.jpg!1000x.water2.jpg;https://img1.591.com.tw/house/2021/10/24/163506233743508709.jpg!1000x.water2.jpg;https://img2.591.com.tw/house/2024/03/17/171061078840475903.jpg!1000x.water2.jpg;https://img2.591.com.tw/house/2026/04/19/177660933405635200.jpg!1000x.water2.jpg,中山國中站,575,,冰箱;洗衣機;冷氣;熱水器;床;衣櫃;第四台;網路;桌椅;陽台,屋主: 林小姐,0918-321-382,,屋主,無,無,3,2,不詳,不詳,無,無,0,無,有,窗型,有,是,不詳,2026-06-08T21:50:17.272369Z,租金含 管理費、水費、網路、第四台、清潔費,招租中,,,,
rent_fb_dingxi,【可租補｜10坪超大雅房｜免仲介費｜電梯大樓｜有管理員｜可收包裹｜可寵｜可開伙|頂溪站走路10分鐘】,12500,10,6F,雅房,新北市永和區頂溪捷運站周邊,25.0135,121.5175,https://www.facebook.com/share/p/18XGFyHdBE/,fb_dingxi,/rentals_images/fb_dingxi/image_1.jpg,不詳,頂溪站,800,,網路;冷氣;洗衣機;冰箱;熱水器;天然瓦斯;廚房;陽台;床;衣櫃;書桌椅,房東,Kevin Lin,Kevin Lin,屋主,500元/月,無,4,3,均攤,台電,均攤,無,不詳,有,有,是,有,是,不詳,2026-06-15T11:02:14.255871Z,,招租中,可開伙,,無,瓦斯
rent_21371970,二樓精緻套房出租,12800,10,2F,獨立套房,台北市大安區復興南路二段125巷20弄5號,25.0297307,121.5460188,https://rent.591.com.tw/21371970,21371970,/rentals_images/21371970/image_1.jpg;/rentals_images/21371970/image_10.jpg;/rentals_images/21371970/image_2.jpg;/rentals_images/21371970/image_3.jpg;/rentals_images/21371970/image_4.jpg;/rentals_images/21371970/image_5.jpg;/rentals_images/21371970/image_6.jpg;/rentals_images/21371970/image_7.jpg;/rentals_images/21371970/image_8.jpg;/rentals_images/21371970/image_9.jpg,https://img1.591.com.tw/house/2019/11/07/157312260884569605.jpg!1000x.water2.jpg;https://img1.591.com.tw/house/2019/11/07/157312260636448307.jpg!1000x.water2.jpg;https://img1.591.com.tw/house/2021/07/12/162607560375221801.jpg!1000x.water2.jpg;https://img2.591.com.tw/house/2021/07/12/162607560469251704.jpg!1000x.water2.jpg;https://img1.591.com.tw/house/2021/07/12/162607560444486902.jpg!1000x.water2.jpg;https://img1.591.com.tw/house/2021/07/12/162607560416875306.jpg!1000x.water2.jpg;https://img2.591.com.tw/house/2021/07/12/162607560565133106.jpg!1000x.water2.jpg;https://img1.591.com.tw/house/2021/07/12/162607560576624209.jpg!1000x.water2.jpg;https://img1.591.com.tw/house/2021/07/12/162607560693089604.jpg!1000x.water2.jpg;https://img2.591.com.tw/house/2021/07/12/162607561275797608.jpg!1000x.water2.jpg,大安站,461,,冰箱;洗衣機;電視;冷氣;熱水器;床;衣櫃;第四台;網路;天然瓦斯;桌椅;平面車位,屋主: 張小姐,0917-756-588,,屋主,無,無,3,2,不詳,不詳,無,有,有,無,有,不詳,不詳,不詳,不詳,2026-06-08T22:27:56.814681Z,租金含網路、第四台，實際空間待量測,招租中,,,,
rent_21414600,【合租D｜可租補｜可養貓｜大安站｜建安國小】,13500,5,3F,雅房,台北市大安區大安路二段53巷,25.031175,121.54646,https://rent.591.com.tw/21414600,21414600,/rentals_images/21414600/image_1.jpg;/rentals_images/21414600/image_2.jpg;/rentals_images/21414600/image_3.jpg;/rentals_images/21414600/image_4.jpg;/rentals_images/21414600/image_5.jpg,https://img2.591.com.tw/house/2026/03/07/177286673153376603.jpg!1000x.water2.jpg;https://img1.591.com.tw/house/2026/03/07/177286673158882407.jpg!1000x.water2.jpg;https://img2.591.com.tw/house/2026/03/07/177286673159758506.jpg!1000x.water2.jpg;https://img2.591.com.tw/house/2026/03/07/177286673164297809.jpg!1000x.water2.jpg;https://img1.591.com.tw/house/2026/03/07/177286673157079803.jpg!1000x.water2.jpg,大安站,372,,冰箱;洗衣機;冷氣;熱水器;床;衣櫃;網路;天然瓦斯;沙發;桌椅;陽台,代理人: 童先生,0975-428-406,https://line.me/ti/p/xU89Ckqzrr,代理人,無,無,4,3,均攤,平分,不詳,無,0,無,有,是,有,是,不詳,2026-06-09T20:24:05.749427Z,實際空間待量測,招租中,,,,
rent_21401439,共生公寓咖啡館。民生社區類似套房垃圾代收,13801,14.5,2F,分租套房,台北市松山區民生東路四段80巷,25.0569563,121.5529133,https://rent.591.com.tw/21401439,21401439,/rentals_images/21401439/image_1.jpg;/rentals_images/21401439/image_10.jpg;/rentals_images/21401439/image_11.jpg;/rentals_images/21401439/image_12.jpg;/rentals_images/21401439/image_13.jpg;/rentals_images/21401439/image_14.jpg;/rentals_images/21401439/image_15.jpg;/rentals_images/21401439/image_2.jpg;/rentals_images/21401439/image_3.jpg;/rentals_images/21401439/image_4.jpg;/rentals_images/21401439/image_5.jpg;/rentals_images/21401439/image_6.jpg;/rentals_images/21401439/image_7.jpg;/rentals_images/21401439/image_8.jpg;/rentals_images/21401439/image_9.jpg,https://img2.591.com.tw/house/2022/11/20/166895675654612100.jpg!1000x.water2.jpg;https://img1.591.com.tw/house/2022/11/20/166895665017981404.jpg!1000x.water2.jpg;https://img1.591.com.tw/house/2022/11/20/166895655382167705.jpg!1000x.water2.jpg;https://img1.591.com.tw/house/2022/11/20/166895657414680803.jpg!1000x.water2.jpg;https://img1.591.com.tw/house/2022/11/20/166895662443460904.jpg!1000x.water2.jpg;https://img2.591.com.tw/house/2022/11/20/166895678875645800.jpg!1000x.water2.jpg;https://img1.591.com.tw/house/2022/11/20/166895682362560105.jpg!1000x.water2.jpg;https://img2.591.com.tw/house/2022/11/20/166895695770444905.jpg!1000x.water2.jpg;https://img2.591.com.tw/house/2022/11/20/166895698381035108.jpg!1000x.water2.jpg;https://img1.591.com.tw/house/2022/11/20/166895732055721804.jpg!1000x.water2.jpg;https://img2.591.com.tw/house/2023/10/07/169665587178550605.jpg!1000x.water2.jpg;https://img1.591.com.tw/house/2023/10/07/169665587226021302.jpg!1000x.water2.jpg;https://img1.591.com.tw/house/2023/10/07/169665587029218204.jpg!1000x.water2.jpg;https://img2.591.com.tw/house/2026/02/26/177211608153734006.jpg!1000x.water2.jpg;https://img2.591.com.tw/house/2026/02/26/177211612074849303.jpg!1000x.water2.jpg,台北小巨蛋站,598,,冰箱;洗衣機;電視;冷氣;熱水器;床;衣櫃;第四台;網路;天然瓦斯;沙發;桌椅;對外窗;陽台,房仲-陳Gary,line,房仲-陳Gary,仲介,無,無,5,5,均攤,3元/度,500,無,0,無,有,不詳,有,無,,2026-06-08T21:50:22.520729Z,,招租中,,,,
